participate(Course23,User18)
participate(Course26,User20)
participate(Course23,User27)
participate(Course30,User27)
participate(Course34,User32)
participate(Course35,User32)
participate(Course42,User43)
participate(Course45,User50)
participate(Course46,User52)
participate(Course47,User52)
participate(Course48,User57)
participate(Course23,User58)
participate(Course49,User64)
participate(Course50,User64)
participate(Course51,User66)
participate(Course52,User76)
participate(Course53,User86)
participate(Course23,User89)
participate(Course47,User91)
participate(Course53,User91)
participate(Course54,User95)
participate(Course55,User98)
participate(Course56,User98)
participate(Course57,User99)
participate(Course35,User99)
participate(Course47,User100)
participate(Course58,User107)
participate(Course59,User107)
participate(Course60,User109)
participate(Course49,User113)
participate(Course61,User113)
participate(Course62,User113)
participate(Course63,User118)
participate(Course52,User120)
participate(Course64,User120)
participate(Course35,User123)
participate(Course65,User123)
participate(Course30,User125)
participate(Course66,User130)
participate(Course30,User131)
participate(Course66,User134)
participate(Course67,User139)
participate(Course49,User139)
participate(Course68,User139)
participate(Course47,User145)
participate(Course30,User147)
participate(Course69,User147)
participate(Course49,User147)
participate(Course61,User147)
participate(Course70,User147)
participate(Course71,User152)
participate(Course72,User153)
participate(Course35,User153)
participate(Course70,User153)
participate(Course60,User159)
participate(Course45,User161)
participate(Course47,User162)
participate(Course50,User164)
participate(Course49,User165)
participate(Course71,User165)
participate(Course53,User167)
participate(Course55,User168)
participate(Course48,User168)
participate(Course59,User172)
participate(Course74,User175)
participate(Course30,User177)
participate(Course75,User179)
participate(Course74,User184)
participate(Course57,User184)
participate(Course49,User185)
participate(Course71,User185)
participate(Course65,User188)
participate(Course52,User192)
participate(Course52,User195)
participate(Course23,User196)
participate(Course76,User198)
participate(Course53,User199)
participate(Course23,User204)
participate(Course77,User208)
participate(Course78,User208)
participate(Course59,User208)
participate(Course68,User208)
participate(Course53,User211)
participate(Course30,User214)
participate(Course47,User221)
participate(Course23,User227)
participate(Course52,User229)
participate(Course53,User232)
participate(Course54,User234)
participate(Course46,User235)
participate(Course55,User235)
participate(Course57,User235)
participate(Course23,User238)
participate(Course67,User250)
participate(Course47,User256)
participate(Course76,User258)
participate(Course30,User259)
participate(Course30,User267)
participate(Course52,User272)
participate(Course79,User272)
participate(Course53,User279)
participate(Course47,User281)
participate(Course80,User282)
participate(Course71,User282)
participate(Course64,User283)
participate(Course45,User288)
participate(Course58,User289)
participate(Course59,User289)
participate(Course54,User297)
participate(Course61,User298)
participate(Course64,User304)
participate(Course76,User309)
participate(Course66,User313)
participate(Course64,User313)
participate(Course78,User323)
participate(Course58,User324)
participate(Course47,User324)
participate(Course59,User324)
participate(Course81,User324)
participate(Course46,User326)
participate(Course47,User326)
participate(Course60,User327)
participate(Course82,User328)
participate(Course45,User329)
participate(Course49,User330)
participate(Course68,User330)
participate(Course50,User330)
participate(Course30,User336)
participate(Course45,User337)
participate(Course52,User338)
participate(Course30,User339)
participate(Course59,User339)
participate(Course69,User341)
participate(Course49,User341)
participate(Course47,User342)
participate(Course59,User342)
participate(Course69,User346)
participate(Course35,User346)
participate(Course70,User346)
participate(Course52,User351)
participate(Course64,User351)
participate(Course79,User351)
participate(Course59,User358)
participate(Course35,User359)
participate(Course23,User361)
participate(Course47,User363)
participate(Course54,User369)
participate(Course30,User370)
participate(Course83,User370)
participate(Course69,User375)
participate(Course76,User378)
participate(Course69,User379)
participate(Course69,User381)
participate(Course23,User384)
participate(Course30,User384)
participate(Course45,User385)
participate(Course54,User385)
participate(Course66,User394)
participate(Course60,User394)
participate(Course76,User394)
participate(Course23,User397)
participate(Course76,User397)
participate(Course74,User399)
participate(Course52,User401)
participate(Course64,User401)
participate(Course47,User405)
participate(Course75,User405)
participate(Course66,User407)
participate(Course84,User408)
participate(Course53,User408)
participate(Course66,User412)
participate(Course52,User412)
participate(Course51,User419)
participate(Course72,User420)
participate(Course49,User420)
participate(Course62,User420)
participate(Course85,User433)
participate(Course26,User440)
participate(Course53,User441)
participate(Course83,User442)
participate(Course52,User454)
participate(Course47,User455)
participate(Course49,User457)
participate(Course68,User457)
participate(Course86,User457)
participate(Course62,User457)
participate(Course53,User465)
participate(Course54,User468)
participate(Course87,User473)
participate(Course76,User473)
participate(Course49,User486)
participate(Course71,User486)
participate(Course88,User486)
participate(Course89,User490)
participate(Course47,User495)
participate(Course77,User498)
participate(Course90,User498)
participate(Course91,User500)
participate(Course50,User503)
participate(Course47,User508)
participate(Course63,User508)
participate(Course92,User508)
participate(Course60,User510)
participate(Course53,User511)
participate(Course93,User515)
participate(Course94,User515)
participate(Course88,User515)
participate(Course53,User517)
participate(Course53,User524)
participate(Course48,User524)
participate(Course47,User526)
participate(Course95,User529)
participate(Course70,User529)
participate(Course69,User530)
participate(Course64,User534)
participate(Course45,User535)
participate(Course54,User535)
participate(Course85,User539)
participate(Course66,User542)
participate(Course48,User546)
participate(Course76,User550)
participate(Course23,User555)
participate(Course35,User556)
participate(Course66,User558)
participate(Course79,User558)
participate(Course45,User561)
participate(Course49,User564)
participate(Course45,User566)
participate(Course53,User574)
participate(Course53,User575)
participate(Course76,User577)
participate(Course26,User580)
participate(Course87,User582)
participate(Course76,User582)
participate(Course45,User592)
participate(Course66,User594)
participate(Course74,User596)
participate(Course52,User600)
participate(Course30,User601)
participate(Course64,User602)
participate(Course93,User606)
participate(Course49,User606)
participate(Course45,User610)
participate(Course47,User611)
participate(Course52,User614)
participate(Course66,User617)
participate(Course55,User619)
participate(Course45,User620)
participate(Course35,User622)
participate(Course55,User625)
participate(Course52,User626)
participate(Course79,User626)
participate(Course23,User628)
participate(Course89,User634)
participate(Course60,User636)
participate(Course34,User637)
participate(Course23,User643)
participate(Course49,User650)
participate(Course55,User657)
participate(Course53,User667)
participate(Course96,User676)
participate(Course63,User676)
participate(Course66,User682)
participate(Course45,User682)
participate(Course72,User683)
participate(Course23,User687)
participate(Course55,User688)
participate(Course69,User693)
participate(Course83,User695)
participate(Course54,User696)
participate(Course57,User698)
participate(Course64,User701)
participate(Course64,User702)
participate(Course70,User703)
participate(Course47,User704)
participate(Course51,User705)
participate(Course93,User713)
participate(Course88,User713)
participate(Course53,User715)
participate(Course30,User716)
participate(Course97,User716)
participate(Course50,User716)
participate(Course26,User716)
participate(Course51,User716)
participate(Course72,User719)
participate(Course82,User719)
participate(Course47,User720)
participate(Course30,User724)
participate(Course86,User725)
participate(Course69,User729)
participate(Course47,User734)
participate(Course53,User734)
participate(Course23,User737)
participate(Course90,User738)
participate(Course49,User742)
participate(Course66,User743)
participate(Course55,User744)
participate(Course63,User744)
participate(Course71,User746)
participate(Course62,User746)
participate(Course34,User747)
participate(Course55,User761)
participate(Course35,User761)
participate(Course49,User764)
participate(Course62,User764)
participate(Course51,User765)
participate(Course52,User771)
participate(Course64,User771)
participate(Course76,User778)
participate(Course65,User781)
participate(Course71,User781)
participate(Course93,User783)
participate(Course52,User784)
participate(Course79,User786)
participate(Course35,User788)
participate(Course98,User792)
participate(Course49,User797)
participate(Course89,User801)
participate(Course55,User803)
participate(Course99,User803)
participate(Course52,User807)
participate(Course76,User813)
participate(Course93,User816)
participate(Course55,User818)
participate(Course65,User818)
participate(Course49,User823)
participate(Course68,User823)
participate(Course53,User824)
participate(Course87,User825)
participate(Course69,User842)
participate(Course84,User846)
participate(Course85,User850)
participate(Course51,User854)
participate(Course60,User861)
participate(Course47,User862)
participate(Course47,User863)
participate(Course57,User863)
participate(Course49,User863)
participate(Course54,User871)
participate(Course100,User872)
participate(Course77,User872)
participate(Course69,User872)
participate(Course90,User872)
participate(Course45,User877)
participate(Course66,User883)
participate(Course60,User883)
participate(Course64,User883)
